,Unnamed: 0,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_test_mae,split1_test_mae,split2_test_mae,split3_test_mae,split4_test_mae,mean_test_mae,std_test_mae,rank_test_mae,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_k,param_min_k,param_sim_options
0,0.0,0.8748274434983686,0.8729991868163444,0.8732825921669759,0.8707570533682314,0.8712262848001269,0.8726185121300094,0.0014743553820098481,14,0.6650134670402026,0.6635836978403576,0.6632166485405219,0.6604964833059606,0.6610209344840412,0.6626662462422168,0.0016774401676691733,14,240.46533846855164,5.601505274301808,144.2948229789734,18.83921997428935,"{'k': 5, 'min_k': 1, 'sim_options': {'name': 'msd', 'user_based': False}}",5,1,"{'name': 'msd', 'user_based': False}"
1,1.0,0.874828275575423,0.8729882780028606,0.8732825921669759,0.8707556423482369,0.8712259042381261,0.8726161384663245,0.0014744759051194805,13,0.6650113619108333,0.6635773489564913,0.6632166485405219,0.66049459037653,0.6610206111612517,0.6626641121891257,0.0016767110420636351,13,156.45749740600587,28.77951630557024,179.51891465187072,20.83568025076829,"{'k': 5, 'min_k': 5, 'sim_options': {'name': 'msd', 'user_based': False}}",5,5,"{'name': 'msd', 'user_based': False}"
2,2.0,0.8863869459323588,0.8845175469580249,0.8874202011433083,0.8841528105186282,0.8847009214552446,0.8854356852015128,0.0012547369086993345,15,0.6837368652646888,0.6826567977164718,0.6844788516964271,0.6825931621617932,0.6827667040346885,0.6832464761748138,0.0007434987661081973,15,59.785862493515005,1.042601470246903,78.12834982872009,1.1425052736516008,"{'k': 5, 'min_k': 10, 'sim_options': {'name': 'msd', 'user_based': False}}",5,10,"{'name': 'msd', 'user_based': False}"
3,3.0,0.8367490178924799,0.8349776243640921,0.8350579215125685,0.8329461514139662,0.8337847609804733,0.8347030952327159,0.0012897485680293435,12,0.6356113225369453,0.6339066210905896,0.6333000489882198,0.6314530739834819,0.6318430203614761,0.6332228173921426,0.0014976208213379864,12,55.99624633789063,4.221206884096816,83.37218089103699,0.5521475335153846,"{'k': 10, 'min_k': 1, 'sim_options': {'name': 'msd', 'user_based': False}}",10,1,"{'name': 'msd', 'user_based': False}"
4,4.0,0.8367498878353116,0.8349662187999608,0.8350579215125685,0.8329446763417747,0.8337843633291365,0.8347006135637504,0.00129000543966475,11,0.635609217407576,0.6339002722067234,0.6333000489882198,0.6314511810540513,0.6318426970386866,0.6332206833390515,0.0014968780519767294,11,52.8850712299347,1.3513229711282773,82.60683941841124,1.1545290489873472,"{'k': 10, 'min_k': 5, 'sim_options': {'name': 'msd', 'user_based': False}}",10,5,"{'name': 'msd', 'user_based': False}"
5,5.0,0.8367502644090742,0.8349011581304373,0.8350307782344664,0.8329424712197211,0.8337806857795554,0.8346810715546509,0.0012873008661659178,10,0.6356109817774954,0.6338849605816941,0.6332880875138769,0.6314473375295279,0.6318418297285237,0.6332146394262236,0.0014970066264190778,10,53.081037759780884,1.8438265345379592,82.04186387062073,0.6891343418123884,"{'k': 10, 'min_k': 10, 'sim_options': {'name': 'msd', 'user_based': False}}",10,10,"{'name': 'msd', 'user_based': False}"
6,6.0,0.7993411564499194,0.7970268914731545,0.7990224512500801,0.7967340893313654,0.7980198095998033,0.7980288796208646,0.00103824847369704,9,0.6059591053097967,0.6036857605145123,0.6046929069340643,0.6030515488942421,0.6033711451802326,0.6041520933665696,0.001057952363008238,9,51.99082374572754,1.214228542329207,108.57634053230284,0.8330717627360964,"{'k': 50, 'min_k': 1, 'sim_options': {'name': 'msd', 'user_based': False}}",50,1,"{'name': 'msd', 'user_based': False}"
7,7.0,0.7993420671046104,0.797014942820874,0.7990224512500801,0.7967325472160942,0.798019394126869,0.7980262805037055,0.001041176996041287,8,0.6059570001804275,0.603679411630646,0.6046929069340643,0.6030496559648112,0.6033708218574431,0.6041499593134784,0.001058236889342703,8,51.131629943847656,1.697816740582284,109.39086871147155,0.3685399147275373,"{'k': 50, 'min_k': 5, 'sim_options': {'name': 'msd', 'user_based': False}}",50,5,"{'name': 'msd', 'user_based': False}"
8,8.0,0.7993424613013627,0.7969467839135825,0.7989940837826361,0.7967302418692025,0.7980155517591542,0.7980058245251876,0.0010499549494826811,7,0.6059587645503469,0.6036641000056165,0.6046809454597213,0.6030458124402879,0.6033699545472803,0.6041439154006506,0.0010599195297679648,7,51.527188062667854,1.8887316509694392,109.86550326347351,1.162587580451105,"{'k': 50, 'min_k': 10, 'sim_options': {'name': 'msd', 'user_based': False}}",50,10,"{'name': 'msd', 'user_based': False}"
9,9.0,0.7952523224275172,0.7928912871928071,0.7956056133986481,0.7933129725523665,0.7941089701894837,0.7942342331521643,0.001056892170975633,3,0.6027788003799522,0.6006515469487587,0.601868036529902,0.6003075064144008,0.6003919777345038,0.6011995736015036,0.0009684139680148836,3,52.31341495513916,1.4209666104426484,142.4830919265747,0.7223454213285804,"{'k': 100, 'min_k': 1, 'sim_options': {'name': 'msd', 'user_based': False}}",100,1,"{'name': 'msd', 'user_based': False}"
