,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_test_mae,split1_test_mae,split2_test_mae,split3_test_mae,split4_test_mae,mean_test_mae,std_test_mae,rank_test_mae,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_lr_all,param_reg_all,param_n_epochs
0,0.7675867395185774,0.7641915496861404,0.7617184283166607,0.7634132318983416,0.7631679751063118,0.7640155849052064,0.00195664553688653,3,0.5812616871971376,0.5795545676008647,0.5769703179855079,0.578400943738102,0.5786770439689154,0.5789729120981055,0.0014143467405389146,3,43.36071705818176,4.2897269858451645,2.6701889991760255,0.43504948302014773,"{'lr_all': 0.01, 'reg_all': 0.05, 'n_epochs': 20}",0.01,0.05,20
1,0.767254427348068,0.7634389149359087,0.7611319717774221,0.7631550659471278,0.7630078874436408,0.7635976534904334,0.002001024088205326,2,0.5810277617591616,0.5791854536844862,0.5764628449261783,0.5782933911242715,0.5782427734551514,0.5786424449898498,0.0014843737337133806,2,42.377173614501956,0.23760626578841829,2.4186858177185058,0.2217325438260357,"{'lr_all': 0.01, 'reg_all': 0.05, 'n_epochs': 21}",0.01,0.05,21
2,0.7668066873114908,0.7628895920686609,0.76031362312494,0.76268650749912,0.762826457630789,0.7631045735270001,0.0020877449701962154,1,0.5805670693920337,0.5788687777424508,0.5758538738335955,0.5779273675909211,0.5784978581060912,0.5783429893330185,0.0015241658242623917,1,44.463371992111206,0.4318858028358632,2.509700298309326,0.20789479735058453,"{'lr_all': 0.01, 'reg_all': 0.05, 'n_epochs': 22}",0.01,0.05,22
3,0.7767338613380705,0.7734843481845691,0.770789092529022,0.7726241971142206,0.7730673546920507,0.7733397707715866,0.0019304387624806234,18,0.5897622261746545,0.5879973882608973,0.5849106867496809,0.5865041113486158,0.5872800566252686,0.5872908938318234,0.0016056866320577417,18,40.691764211654665,0.5849073378462911,2.4148812294006348,0.21832409947576162,"{'lr_all': 0.01, 'reg_all': 0.07, 'n_epochs': 20}",0.01,0.07,20
4,0.7758875436984948,0.7724360156875385,0.7700266440880549,0.7716026493513759,0.7718970137494239,0.7723699733149776,0.0019329424036678934,17,0.5888060934114537,0.5870860936971993,0.5842534553907921,0.5857268133714817,0.5863127021424731,0.5864370316026799,0.001504766312758005,16,42.37102174758911,0.16801268489227408,2.397232437133789,0.20535990603436796,"{'lr_all': 0.01, 'reg_all': 0.07, 'n_epochs': 21}",0.01,0.07,21
5,0.7746511830474258,0.7718389287666794,0.769058212917693,0.7709410510409336,0.7712013161052966,0.7715381383756056,0.0018111606660876187,15,0.5879749652121672,0.5867323546254388,0.5835802948564047,0.5850879824276002,0.5857673406296127,0.5858285875502447,0.0014853147251645499,13,44.54310765266418,0.4343681937817066,2.4011393547058106,0.2114621305501327,"{'lr_all': 0.01, 'reg_all': 0.07, 'n_epochs': 22}",0.01,0.07,22
6,0.7938446516118639,0.7903577470919827,0.7877020428817603,0.7893411993503965,0.7903232156114839,0.7903137713094974,0.002011773365456689,27,0.6038445820256606,0.6017659730012054,0.5987768544379387,0.600344088701156,0.6014993626062088,0.6012461721544339,0.0016731596890755874,27,41.126885986328126,1.6218415235546537,2.500897836685181,0.23696485316152907,"{'lr_all': 0.01, 'reg_all': 0.1, 'n_epochs': 20}",0.01,0.1,20
7,0.7928053864458655,0.7897116178637942,0.7871974426624428,0.7884550173532703,0.7895398172630526,0.789541856317685,0.0018631664638071933,26,0.603060206966446,0.6011992476205198,0.5984059263185757,0.5996174320563814,0.6008880993300963,0.6006341824584039,0.001566414640731064,26,42.1861768245697,0.05412983809369448,2.3831644535064695,0.22327541395392242,"{'lr_all': 0.01, 'reg_all': 0.1, 'n_epochs': 21}",0.01,0.1,21
8,0.7922221873326167,0.7893931563959161,0.7861347309322341,0.7880418518419402,0.7888744571911727,0.788933276738776,0.0019828453752383977,25,0.6025539871233123,0.6010189165725952,0.5975585221844419,0.5993141886296854,0.6003785352945149,0.6001648299609099,0.001673298344981836,24,44.37466316223144,0.18148989542433752,2.4804992198944094,0.21113709440810602,"{'lr_all': 0.01, 'reg_all': 0.1, 'n_epochs': 22}",0.01,0.1,22
9,0.7703862654878453,0.7667579307873039,0.764507724926066,0.7661754501973976,0.7661670031531768,0.7667988749103578,0.0019446509258698038,5,0.5837130948560105,0.582212761572891,0.5792219670212837,0.5810083827451554,0.5814870928180381,0.5815286598026759,0.0014719374547017587,5,40.226311445236206,0.14423458987243143,2.3809947967529297,0.20113563582685634,"{'lr_all': 0.025, 'reg_all': 0.05, 'n_epochs': 20}",0.025,0.05,20
