,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_test_mae,split1_test_mae,split2_test_mae,split3_test_mae,split4_test_mae,mean_test_mae,std_test_mae,rank_test_mae,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_lr_all,param_reg_all,param_n_epochs
0,0.7622214151121589,0.765157141941979,0.7641935574953574,0.7613677954863932,0.7672741615887537,0.7640428143249285,0.002106146982514734,3,0.5780710497317706,0.5805996508215758,0.5801215008573314,0.5781036817776566,0.5802269828444266,0.5794245732065522,0.0011033727151256534,3,41.59905567169189,1.2908545119455026,2.434186029434204,0.21280053066126117,"{'lr_all': 0.01, 'reg_all': 0.05, 'n_epochs': 20}",0.01,0.05,20
1,0.7614351383128346,0.7647416921732998,0.7634163107363251,0.7612297059029409,0.7660767078786914,0.7633799110008184,0.001872645672509428,2,0.5773047404257737,0.580018168134677,0.5795418656720168,0.5779754806529237,0.579081278097743,0.5787843065966268,0.0010027778997764763,2,42.40856881141663,0.10259591084729898,2.3194398880004883,0.21738886425850618,"{'lr_all': 0.01, 'reg_all': 0.05, 'n_epochs': 21}",0.01,0.05,21
2,0.7619960012371074,0.7636900252851432,0.7636462526727799,0.7607301255812126,0.7658869150780098,0.7631898639708506,0.0017440273985618417,1,0.5775069263204677,0.5796103633154303,0.5794835161528389,0.5772850768954866,0.5791989052345096,0.5786169575837465,0.0010082179667962857,1,45.014193534851074,0.6933862312565984,2.4261026859283445,0.20937834102466413,"{'lr_all': 0.01, 'reg_all': 0.05, 'n_epochs': 22}",0.01,0.05,22
3,0.7719800366700336,0.7749187280472573,0.7739366925016866,0.7706482634508565,0.7767321167186717,0.7736431674777011,0.0021443075028096175,18,0.5868882360833396,0.5890397601261997,0.5883374913950356,0.5862129881898843,0.5887065427637217,0.5878370037116362,0.0010946045408735047,18,40.50721011161804,0.11854232307465087,2.4374880313873293,0.2048286474925786,"{'lr_all': 0.01, 'reg_all': 0.07, 'n_epochs': 20}",0.01,0.07,20
4,0.7710881223001924,0.7736257820494175,0.7732734158224687,0.7697170734249984,0.7758248754673587,0.7727058538128871,0.0021187993831574665,17,0.58621727365443,0.5881085479000717,0.5878642602966984,0.585481020420918,0.5878877652532846,0.5871117735050805,0.0010603248901793817,16,43.467009925842284,1.5272981854971661,2.3237111568450928,0.20885447767778523,"{'lr_all': 0.01, 'reg_all': 0.07, 'n_epochs': 21}",0.01,0.07,21
5,0.7700991166009225,0.7729589783474471,0.7720972663721257,0.7688222130171953,0.7745217452075763,0.7716998639090533,0.0020272927045437155,15,0.5854616008488837,0.5874540521444955,0.5869048612654519,0.5847425219325671,0.5867172427502254,0.5862560557883247,0.0009990776359925877,13,45.33910894393921,1.0271420495116943,2.3622162342071533,0.19488414453404235,"{'lr_all': 0.01, 'reg_all': 0.07, 'n_epochs': 22}",0.01,0.07,22
6,0.7894474237522884,0.7918864798143054,0.7903636687034182,0.7872275022103873,0.7935150508891717,0.7904880250739141,0.002137656937312074,27,0.6015005988246388,0.6031205585361846,0.6018246633752012,0.599920399757879,0.6025969747852655,0.6017926390558338,0.0010956202950301005,27,42.361482524871825,2.166610304648039,2.4372273445129395,0.1622857390640485,"{'lr_all': 0.01, 'reg_all': 0.1, 'n_epochs': 20}",0.01,0.1,20
7,0.7882432664775444,0.7907288330724934,0.7897763894205506,0.7865752502020404,0.7932618862066828,0.7897171250758623,0.0022643336193310087,26,0.6004930288606285,0.602167056225707,0.6013830431758918,0.59945836989835,0.6023873677786677,0.6011777731878489,0.0010871208062329806,26,45.44200720787048,1.3412901744147083,2.682358455657959,0.27039761009106306,"{'lr_all': 0.01, 'reg_all': 0.1, 'n_epochs': 21}",0.01,0.1,21
8,0.787389122686464,0.7902797884632761,0.7891897237737161,0.7860438268085764,0.7922072173434254,0.7890219358150916,0.0021583130665431176,25,0.5997631630972038,0.6018359963304915,0.6009143343556235,0.5989961427438177,0.6015597554779254,0.6006138784010124,0.0010788247905510985,22,45.98084959983826,1.4901651881184772,2.5017303466796874,0.18591197259970488,"{'lr_all': 0.01, 'reg_all': 0.1, 'n_epochs': 22}",0.01,0.1,22
9,0.7653412469584849,0.7681829680608069,0.767295621630453,0.7641851757204283,0.7694281555415609,0.7668866335823468,0.0018970072519438415,4,0.5810694942013156,0.5835244260099354,0.5830849769800678,0.5807649786630522,0.5823166139688215,0.5821520979646385,0.0010841350379139241,4,40.76983952522278,0.6024208867531764,2.404747247695923,0.35139653988944675,"{'lr_all': 0.025, 'reg_all': 0.05, 'n_epochs': 20}",0.025,0.05,20
