,Unnamed: 0,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_test_mae,split1_test_mae,split2_test_mae,split3_test_mae,split4_test_mae,mean_test_mae,std_test_mae,rank_test_mae,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_lr_all,param_reg_all,param_n_epochs
4,4.0,0.7749201367118114,0.7779932149982725,0.7782409124438977,0.7780808550202913,0.7726569141347056,0.7763784066617958,0.002233872066232864,5,0.5877578849496197,0.5899732628652433,0.5906438627619078,0.5886256685421354,0.587392795885089,0.5888786950007989,0.0012523601539819516,8,44.607331371307374,0.3412623557316874,2.35956711769104,0.20241416028819567,"{'lr_all': 0.005, 'reg_all': 0.05, 'n_epochs': 22}",0.005,0.05,22
5,5.0,0.7739254517124753,0.7763300466997156,0.7764712359343566,0.7770960610948896,0.7719675832127344,0.7751580757308343,0.00192625530093988,4,0.5869186825956472,0.5885586309913389,0.5889506037795685,0.5875634540139564,0.5869921979605283,0.5877967138682079,0.0008227483881442357,4,623.7695374011994,731.1899364929436,3.0958791732788087,0.7382962733286212,"{'lr_all': 0.005, 'reg_all': 0.05, 'n_epochs': 23}",0.005,0.05,23
6,6.0,0.858603024612466,0.8622302350777962,0.8624934495206041,0.8649576829063169,0.8581303559737707,0.8612829496181907,0.002568547029654379,16,0.6548127039220418,0.658007510214817,0.6573282496118724,0.6584614056328579,0.6552429103066313,0.6567705559376441,0.00147424126240219,16,43.89241065979004,5.2433393834151865,2.407049655914306,0.2526819625114866,"{'lr_all': 0.07, 'reg_all': 0.02, 'n_epochs': 20}",0.07,0.02,20
7,7.0,0.8605141790692368,0.8619638858131234,0.8606351663527223,0.8647258610735153,0.8598749193280848,0.8615428023273367,0.001730484143373671,17,0.6554172489527283,0.6566512079476553,0.6566124199740695,0.6590781472518966,0.6566417880958456,0.6568801624444391,0.001196008496637705,17,47.24495186805725,2.8697457592969213,2.35399808883667,0.2934049201263628,"{'lr_all': 0.07, 'reg_all': 0.02, 'n_epochs': 22}",0.07,0.02,22
8,8.0,0.8596798796435096,0.8615913948614706,0.8637073738892153,0.8639630841444438,0.8600466144929351,0.8617976694063149,0.0017849239858930325,18,0.6552565275431909,0.6572846319032962,0.6583929666313844,0.6575969159581033,0.6572538245512961,0.6571569733174542,0.0010352391043708358,18,62.87426047325134,22.75860661542463,3.468120765686036,1.306140072221401,"{'lr_all': 0.07, 'reg_all': 0.02, 'n_epochs': 23}",0.07,0.02,23
9,9.0,0.7933478196737102,0.7953659247645284,0.7951860155910215,0.7963564310545601,0.7908994395522891,0.7942311261272218,0.0019285677895204878,13,0.6046425492595602,0.606385352751619,0.6066884704126018,0.6055885271680714,0.6035852891164474,0.60537803774166,0.0011429010502659002,13,46.16858263015747,8.703015827284355,2.4381028175354005,0.2398726502549753,"{'lr_all': 0.07, 'reg_all': 0.05, 'n_epochs': 20}",0.07,0.05,20
10,10.0,0.7936543665557125,0.7957993980590555,0.7951915800598918,0.7963589598018601,0.7912567778889497,0.7944522164730939,0.001835462835174516,14,0.6046388311508087,0.6065104146795269,0.606635337559932,0.6054424672896022,0.6042119024405066,0.6054877906240753,0.0009709068933373381,14,45.27676453590393,1.297258255231087,2.2943920612335207,0.2265656309773982,"{'lr_all': 0.07, 'reg_all': 0.05, 'n_epochs': 22}",0.07,0.05,22
11,11.0,0.7934733165050986,0.7958690916149046,0.7950793133925675,0.7967560211367821,0.7914306396553018,0.7945216764609309,0.0018853301995106488,15,0.6045788753416572,0.6071681208372115,0.6063211592204393,0.6057010744637591,0.6042864227444658,0.6056111305215065,0.001073019194621715,15,48.00182075500489,3.2218462551825087,2.7726833820343018,0.9458096354298792,"{'lr_all': 0.07, 'reg_all': 0.05, 'n_epochs': 23}",0.07,0.05,23
12,12.0,0.7863274276513905,0.7892821382371752,0.7896000426929122,0.7889104679581005,0.7854193277136172,0.787907880850639,0.0016998767604587287,10,0.5950090743285781,0.597499293969022,0.5974608305551411,0.5960678550332404,0.5956072416075002,0.5963288590986963,0.0009981947634706393,10,49.81199984550476,11.756680223001936,2.5024160861969,0.4475457099585137,"{'lr_all': 0.01, 'reg_all': 0.02, 'n_epochs': 20}",0.01,0.02,20
13,13.0,0.788565185532538,0.7910525035497391,0.7900122633942602,0.7918406291736537,0.7871922912821521,0.7897325745864686,0.0016781042225835008,11,0.5968978162316021,0.5989988480185089,0.5978261576858855,0.5979862466201419,0.5977144710021774,0.5978847079116631,0.0006720092572971514,11,45.99268093109131,1.9913119477064825,2.465560388565064,0.18425897851086007,"{'lr_all': 0.01, 'reg_all': 0.02, 'n_epochs': 22}",0.01,0.02,22
14,14.0,0.7907297190760904,0.7935887325411111,0.7925918014360219,0.7928642691123852,0.7904851990403502,0.7920519442411917,0.0012260510329937869,12,0.5981627771685049,0.6004289983332943,0.6003899047391636,0.5992783416136997,0.5994232898796708,0.5995366623468666,0.0008356350272111327,12,46.61354861259461,0.2341107528633675,2.2112127780914306,0.15997281016687998,"{'lr_all': 0.01, 'reg_all': 0.02, 'n_epochs': 23}",0.01,0.02,23
15,15.0,0.763518428564556,0.7653566793362498,0.7654489906123292,0.7660324935053322,0.7609589154215196,0.7642631014879974,0.0018550028011416976,3,0.578736105521639,0.580266327770943,0.5808811976267056,0.5796196891755927,0.5784361942061271,0.5795879028602016,0.000914972525519725,3,40.24271149635315,0.03625948790464332,2.3997297763824457,0.2267600462014081,"{'lr_all': 0.01, 'reg_all': 0.05, 'n_epochs': 20}",0.01,0.05,20
16,16.0,0.7618295317022019,0.7639926816273483,0.7640007137460367,0.7652972559563684,0.7598503584039759,0.7629941082871863,0.0019263589697669696,2,0.5769519558189056,0.5790190885602892,0.5795782920869028,0.5783681375770103,0.5773618026338591,0.5782558553353934,0.0009842210525413619,2,44.35877480506897,0.029374293121044812,2.2873890876770018,0.20836302732667566,"{'lr_all': 0.01, 'reg_all': 0.05, 'n_epochs': 22}",0.01,0.05,22
