,knn_metric,mean,Testsize,set_k,data,Fold,RMSE
1,cosine,False,25000,False,"Index(['user_id',  'imdbID',  'rating',         0,         1,         2,
               3,         4,         5,         6,         7,         8,
               9,        10,        11,        12,        13,        14,
              15,        16,        17,        18,        19],
      dtype='object')",1,0.8068043484836593
2,cosine,False,25000,False,"Index(['user_id',  'imdbID',  'rating',         0,         1,         2,
               3,         4,         5,         6,         7,         8,
               9,        10,        11,        12,        13,        14,
              15,        16,        17,        18,        19],
      dtype='object')",2,0.8096442497202567
5,cosine,False,25000,False,"Index(['user_id',  'imdbID',  'rating',         0,         1,         2,
               3,         4,         5,         6,         7,         8,
               9,        10,        11,        12,        13,        14,
              15,        16,        17,        18,        19],
      dtype='object')",5,0.8097118192083863
3,cosine,False,25000,False,"Index(['user_id',  'imdbID',  'rating',         0,         1,         2,
               3,         4,         5,         6,         7,         8,
               9,        10,        11,        12,        13,        14,
              15,        16,        17,        18,        19],
      dtype='object')",3,0.8119043229662339
4,cosine,False,25000,False,"Index(['user_id',  'imdbID',  'rating',         0,         1,         2,
               3,         4,         5,         6,         7,         8,
               9,        10,        11,        12,        13,        14,
              15,        16,        17,        18,        19],
      dtype='object')",4,0.8129717864334833
0,cosine,False,25000,False,"Index(['user_id',  'imdbID',  'rating',         0,         1,         2,
               3,         4,         5,         6,         7,         8,
               9,        10,        11,        12,        13,        14,
              15,        16,        17,        18,        19],
      dtype='object')",0,0.8164999159709324
