,knn_metric,mean,Testsize,set_k,data,Fold,RMSE
2,cosine,False,25000,False,"Index(['user_id', 'imdbID', 'rating', 'imdbRating', 'Metacritic',
       'RottenTomatoes', 'Awards'],
      dtype='object')",2,0.8051272572311773
3,cosine,False,25000,False,"Index(['user_id', 'imdbID', 'rating', 'imdbRating', 'Metacritic',
       'RottenTomatoes', 'Awards'],
      dtype='object')",3,0.8052960462359586
5,cosine,False,25000,False,"Index(['user_id', 'imdbID', 'rating', 'imdbRating', 'Metacritic',
       'RottenTomatoes', 'Awards'],
      dtype='object')",5,0.8060394144318678
0,cosine,False,25000,False,"Index(['user_id', 'imdbID', 'rating', 'imdbRating', 'Metacritic',
       'RottenTomatoes', 'Awards'],
      dtype='object')",0,0.8067276469596564
4,cosine,False,25000,False,"Index(['user_id', 'imdbID', 'rating', 'imdbRating', 'Metacritic',
       'RottenTomatoes', 'Awards'],
      dtype='object')",4,0.8132469435857358
1,cosine,False,25000,False,"Index(['user_id', 'imdbID', 'rating', 'imdbRating', 'Metacritic',
       'RottenTomatoes', 'Awards'],
      dtype='object')",1,0.8157612957334184
