,knn_metric,mean,Testsize,set_k,data,Fold,RMSE
5,cosine,False,25000,False,"Index(['user_id', 'imdbID', 'rating', 'imdbRating', 'Metacritic',
       'RottenTomatoes'],
      dtype='object')",5,0.8080272028868583
4,cosine,False,25000,False,"Index(['user_id', 'imdbID', 'rating', 'imdbRating', 'Metacritic',
       'RottenTomatoes'],
      dtype='object')",4,0.8099268368368102
3,cosine,False,25000,False,"Index(['user_id', 'imdbID', 'rating', 'imdbRating', 'Metacritic',
       'RottenTomatoes'],
      dtype='object')",3,0.8114068295449239
1,cosine,False,25000,False,"Index(['user_id', 'imdbID', 'rating', 'imdbRating', 'Metacritic',
       'RottenTomatoes'],
      dtype='object')",1,0.8117342636926391
2,cosine,False,25000,False,"Index(['user_id', 'imdbID', 'rating', 'imdbRating', 'Metacritic',
       'RottenTomatoes'],
      dtype='object')",2,0.813796849062147
0,cosine,False,25000,False,"Index(['user_id', 'imdbID', 'rating', 'imdbRating', 'Metacritic',
       'RottenTomatoes'],
      dtype='object')",0,0.8186969891387754
