,set_k,knn_metric,data,RMSE,Fold,Testsize,mean
5,False,cosine,"Index(['user_id', 'imdbID', 'rating', 'imdbRating', 'Metacritic',
       'RottenTomatoes', 'Awards'],
      dtype='object')",0.8235210820282983,5,25000,False
4,False,cosine,"Index(['user_id', 'imdbID', 'rating', 'imdbRating', 'Metacritic',
       'RottenTomatoes', 'Awards'],
      dtype='object')",0.8247370870378248,4,25000,False
1,False,cosine,"Index(['user_id', 'imdbID', 'rating', 'imdbRating', 'Metacritic',
       'RottenTomatoes', 'Awards'],
      dtype='object')",0.8264566029741917,1,25000,False
3,False,cosine,"Index(['user_id', 'imdbID', 'rating', 'imdbRating', 'Metacritic',
       'RottenTomatoes', 'Awards'],
      dtype='object')",0.8273709966180487,3,25000,False
2,False,cosine,"Index(['user_id', 'imdbID', 'rating', 'imdbRating', 'Metacritic',
       'RottenTomatoes', 'Awards'],
      dtype='object')",0.8306611990286983,2,25000,False
0,False,cosine,"Index(['user_id', 'imdbID', 'rating', 'imdbRating', 'Metacritic',
       'RottenTomatoes', 'Awards'],
      dtype='object')",0.8307948652454795,0,25000,False
