,knn_metric,mean,Testsize,set_k,data,Fold,RMSE
5,cosine,False,25000,False,"Index(['user_id', 'imdbID', 'rating', 'imdbRating', 'Metacritic',
       'RottenTomatoes', 'Awards', 'imdbVotes', 'Runtime', 'Year'],
      dtype='object')",5,0.8018403567997943
2,cosine,False,25000,False,"Index(['user_id', 'imdbID', 'rating', 'imdbRating', 'Metacritic',
       'RottenTomatoes', 'Awards', 'imdbVotes', 'Runtime', 'Year'],
      dtype='object')",2,0.8117248365242943
3,cosine,False,25000,False,"Index(['user_id', 'imdbID', 'rating', 'imdbRating', 'Metacritic',
       'RottenTomatoes', 'Awards', 'imdbVotes', 'Runtime', 'Year'],
      dtype='object')",3,0.8136016717943373
4,cosine,False,25000,False,"Index(['user_id', 'imdbID', 'rating', 'imdbRating', 'Metacritic',
       'RottenTomatoes', 'Awards', 'imdbVotes', 'Runtime', 'Year'],
      dtype='object')",4,0.8143924548155408
1,cosine,False,25000,False,"Index(['user_id', 'imdbID', 'rating', 'imdbRating', 'Metacritic',
       'RottenTomatoes', 'Awards', 'imdbVotes', 'Runtime', 'Year'],
      dtype='object')",1,0.8147850340424856
0,cosine,False,25000,False,"Index(['user_id', 'imdbID', 'rating', 'imdbRating', 'Metacritic',
       'RottenTomatoes', 'Awards', 'imdbVotes', 'Runtime', 'Year'],
      dtype='object')",0,0.8156907087952867
