,mean,knn_metric,Fold,RMSE,Testsize,data,set_k
3,False,cosine,3,0.8029414674208116,25000,"Index(['user_id', 'imdbID', 'rating', 'imdbRating', 'Metacritic',
       'RottenTomatoes', 'Awards', 'imdbVotes'],
      dtype='object')",False
2,False,cosine,2,0.8045048338224604,25000,"Index(['user_id', 'imdbID', 'rating', 'imdbRating', 'Metacritic',
       'RottenTomatoes', 'Awards', 'imdbVotes'],
      dtype='object')",False
1,False,cosine,1,0.8051284849885267,25000,"Index(['user_id', 'imdbID', 'rating', 'imdbRating', 'Metacritic',
       'RottenTomatoes', 'Awards', 'imdbVotes'],
      dtype='object')",False
4,False,cosine,4,0.8080369014180168,25000,"Index(['user_id', 'imdbID', 'rating', 'imdbRating', 'Metacritic',
       'RottenTomatoes', 'Awards', 'imdbVotes'],
      dtype='object')",False
0,False,cosine,0,0.8094617085591249,25000,"Index(['user_id', 'imdbID', 'rating', 'imdbRating', 'Metacritic',
       'RottenTomatoes', 'Awards', 'imdbVotes'],
      dtype='object')",False
5,False,cosine,5,0.8122035121261253,25000,"Index(['user_id', 'imdbID', 'rating', 'imdbRating', 'Metacritic',
       'RottenTomatoes', 'Awards', 'imdbVotes'],
      dtype='object')",False
