Year,Rated,Released,Runtime,imdbRating,imdbVotes,imdbID,Rotten Tomatoes,Metacritic,Oscars_won,Oscars_nominated,Golden_globe_won,Golden_globe_nominated
1996.0,1.0,1.0,87.0,6.1,7539.0,tt0115644,1.9,,,,,
1996.0,1.0,1.0,90.0,4.7,4425.0,tt0115676,0.0,,,,,
1995.0,3.0,1.0,108.0,6.4,24278.0,tt0114367,3.0,,,,,
1995.0,,11.0,67.0,7.2,637.0,tt0113973,8.8,,,,,
1995.0,3.0,11.0,111.0,6.3,12321.0,tt0112744,7.5,4.6,,,,1.0
1996.0,3.0,2.0,118.0,5.7,16346.0,tt0116731,1.8,,,,,
1995.0,,11.0,85.0,7.7,6183.0,tt0112445,8.1,,,,,
1995.0,3.0,12.0,115.0,6.8,25407.0,tt0114660,3.3,4.6,,,,
1995.0,3.0,2.0,102.0,7.4,7889.0,tt0112379,6.7,,1.0,,,
1995.0,1.0,1.0,115.0,7.0,462.0,tt0114039,7.1,,,,,
1995.0,3.0,9.0,108.0,6.0,341.0,tt0113612,6.4,,,,,
1995.0,3.0,1.0,116.0,6.8,4268.0,tt0112365,7.1,,,1.0,,
1996.0,2.0,2.0,129.0,6.6,20443.0,tt0118158,6.0,5.3,,,,
1996.0,1.0,1.0,88.0,5.4,11585.0,tt0116151,1.2,5.4,,,,
2006.0,,3.0,87.0,5.8,38276.0,tt0779982,7.2,6.2,,,,
1995.0,3.0,11.0,90.0,6.3,37916.0,tt0113972,3.2,,,,,
1995.0,2.0,1.0,91.0,6.6,861.0,tt0113490,5.7,,,,,
1996.0,3.0,2.0,108.0,5.8,13619.0,tt0117002,2.6,4.4,,,,
1995.0,3.0,10.0,100.0,4.6,20810.0,tt0114825,1.0,2.7,,,,
1996.0,3.0,2.0,112.0,7.1,30674.0,tt0115639,7.9,6.4,,,,
1996.0,3.0,2.0,108.0,6.0,88398.0,tt0115759,5.3,6.1,,,,
1995.0,3.0,2.0,99.0,7.2,2274.0,tt0113403,8.1,,,,,
1995.0,,2.0,98.0,8.1,140882.0,tt0113247,10.0,,,,,
2005.0,2.0,9.0,106.0,5.0,115.0,tt0295605,4.0,5.6,,,,
1995.0,,2.0,106.0,6.6,623.0,tt0113283,7.5,,,,,
1996.0,3.0,2.0,111.0,6.2,19152.0,tt0115907,5.6,,,,,
1996.0,3.0,2.0,91.0,7.0,67393.0,tt0115734,8.5,6.6,,,,
1996.0,2.0,2.0,96.0,3.9,4715.0,tt0117102,0.7,,,,,
1996.0,3.0,2.0,117.0,6.0,4736.0,tt0118040,2.1,,,,,
1996.0,2.0,2.0,92.0,7.0,188880.0,tt0116483,6.1,3.1,,,,
1995.0,2.0,6.0,135.0,7.6,70021.0,tt0112579,9.0,6.6,,1.0,,
1994.0,,1.0,104.0,7.3,1075.0,tt0110251,6.7,,,,,
1996.0,0.0,2.0,99.0,7.0,20639.0,tt0117110,7.3,6.4,,,,
1995.0,3.0,5.0,178.0,8.3,932306.0,tt0112573,7.7,6.8,5.0,,,
1976.0,3.0,2.0,114.0,8.3,691354.0,tt0075314,9.5,9.4,,4.0,,
1995.0,3.0,2.0,87.0,6.8,37638.0,tt0113326,8.0,6.1,,,,
1996.0,2.0,2.0,108.0,6.1,7939.0,tt0115645,3.2,,,,,
1995.0,3.0,1.0,114.0,7.1,1264.0,tt0113774,6.7,,,,,
1995.0,,1.0,106.0,7.0,2513.0,tt0112556,,,,,,
1995.0,1.0,6.0,117.0,8.0,992.0,tt0112373,9.7,,1.0,,,
1995.0,3.0,2.0,99.0,7.1,3315.0,tt0115033,8.6,,,,,
1996.0,3.0,3.0,92.0,4.9,3684.0,tt0116606,1.8,,,,,
